axis,context,dataset,gold_answer,metadata,question,sample_id,supporting_facts
knowledge,,triviaqa,WILLIAM TELL,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which opera by Rossini , his last , is based on a play by Schiller ?",wh_3301,[]
knowledge,,triviaqa,Sing a Song of Sixpence,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",‘The Queen was in the parlour eating bread and honey’ in which nursery rhyme?,qb_4949,[]
knowledge,,triviaqa,DIEGO MARADONA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who is the father-in-law of Manchester City footballer Sergio Kűn Aguerro?,odql_8301,[]
knowledge,,triviaqa,RED,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What colour hair did Charles Dickens' character David Copperfield have?,dpql_206,[]
knowledge,,triviaqa,Perfume,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Elizabeth Taylor made a fortune from what business aside from acting?,bb_1493,[]
knowledge,,triviaqa,GINGERBREAD,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the name of the charity for single parents founded in the 1970s which currently has J K Rowling as its President?,sfq_19603,[]
knowledge,,triviaqa,Alfred Lord Tennyson,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who was the UK Poet Laureate or the longest period?,sfq_16378,[]
knowledge,,triviaqa,June,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Giugno is Italian for which month of the year?,qb_6288,[]
knowledge,,triviaqa,Snudge,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What character was played by Bill Fraser in 'The Army Game'?,qf_277,[]
knowledge,,triviaqa,ARES,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who is the Greek God of War?,wh_817,[]
knowledge,,triviaqa,DNA structure,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",For which scientific discovery did Crick and Watson receive the 1962 Nobel Prize for Medicine?,sfq_3290,[]
knowledge,,triviaqa,MAURETANIA,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Nouakchott is the capital of which Islamic African republic?,odql_3663,[]
knowledge,,triviaqa,Falconry,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",A creance is the name of the long fine cord used in which sport?,qb_1414,[]
knowledge,,triviaqa,The moon,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Selenology is the scientific study of which celestial body?,qb_2020,[]
knowledge,,triviaqa,Abortion,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In June 2013 US Texas State Senator Wendy Davis filibustered for 10 hours to obstruct Texas state laws concerning?,bb_3952,[]
knowledge,,triviaqa,Ub Iwerks,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who first drew Mickey Mouse when ?Disney first supplied the voice?,tc_2090,[]
knowledge,,triviaqa,FEDERAL RESERVE BOARD,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Alan Greenspan was the head of which US government department from 1987 to 2006?,odql_10047,[]
knowledge,,triviaqa,1066,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In what year was the Battle of Stamford Bridge?,sfq_7781,[]
knowledge,,triviaqa,GORKY,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What was the Russian City of Nizhny Novgorod called between 1932 and 1990?,sfq_21320,[]
knowledge,,triviaqa,GIGLIO,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""The cruise liner """"Costa Concordia"""" sank in the Tyrhenian sea in January 2012 against the rocks of the coast of what island?""",wh_267,[]
knowledge,,triviaqa,Poland,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Zloty and Grosz are money in which country?,bb_8041,[]
knowledge,,triviaqa,Woody Guthrie,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which US folk singer had the words “This machine kills fascists” written on his guitar?,sfq_23344,[]
knowledge,,triviaqa,'HANSARD',"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",How is 'The Journal Of The House Of Commons' better known?,odql_9681,[]
knowledge,,triviaqa,SARAH,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",wh_4276,[]
knowledge,,triviaqa,Paul McCartney,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who composed the Liverpool Oratorio in collaboration with Carl Davis?,odql_14990,[]
knowledge,,triviaqa,(Eugene) Delacroix,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which French romantic artist who painted Massacre at Chios and Women of Algiers was born on this day in 1798?,odql_12335,[]
knowledge,,triviaqa,a Well,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What did Tikki Tikki Tembo fall into?,jp_657,[]
knowledge,,triviaqa,Trafalgar,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which is the most southerly of the Shipping Forecast areas?,dpql_5066,[]
knowledge,,triviaqa,Tanner,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",A gerber was an alternative name for which traditional trade/craftsman?,sfq_23329,[]
knowledge,,triviaqa,Route 66,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What famous road began in Chicago, Illinois, ending at Santa Monica, California?",bb_5774,[]
knowledge,,triviaqa,COMOROS,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Moroni is the capital of which Indian Ocean island group?,sfq_14566,[]
knowledge,,triviaqa,Dover,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which English town/city did the Romans call Dubris?,dpql_2596,[]
knowledge,,triviaqa,Cat,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Maine Coon, Munchkin, Oriental Shorthair, Persian, Ragamuffin, Russian Blue, Siamese, Siberian, Snowshoe, Sphynx, Tonkinese and Manx are all breeds of what?",qw_8348,[]
knowledge,,triviaqa,Matthew Hayden,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In October 2003, which cricketer, playing in a Test series against Zimbabwe, scored a record 380 not out?",qw_13550,[]
knowledge,,triviaqa,Estimate,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which of the Queen's horses won the 2013 Ascot Gold Cup?,sfq_19424,[]
knowledge,,triviaqa,THREE MEN AND A BABY,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which 1987 US film was based on the 1985 French film ‘Trois hommes et un couffin’?,dpql_5817,[]
knowledge,,triviaqa,Holly came from Miami F L A,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""What is the first line of """"Walk on the Wild Side"""" by Lou Reed, released as a single in 1972?""",qw_13630,[]
knowledge,,triviaqa,Yellow,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What colour is the liqueur Galliano?,qb_10149,[]
knowledge,,triviaqa,New Year,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The word Tet in the Tet Offensive (N Vietnam/Viet Cong against S Vietnam/US forces on 30 Jan 1968) referred to the national?,bb_3998,[]
knowledge,,triviaqa,RAMNARESH,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",By what first name is West Indian cricketer Sarwan known?,odql_13385,[]
knowledge,,triviaqa,Northern,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Goodge Street tube station is on which London Underground line?,sfq_13317,[]
knowledge,,triviaqa,BILL CLINTON,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Which American President used the slogan: """"It's the economy, stupid"""" for his presidential campaign?""",odql_5188,[]
knowledge,,triviaqa,Edmund,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the first name of Blackadder in the UK television series ‘Blackadder’?,qb_9577,[]
knowledge,,triviaqa,Christie,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",'Yellow River' was a May 1970 No.1 for who?,qf_85,[]
knowledge,,triviaqa,Imola,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",On which Italian track was the Formula One San Marino Grand Prix held?,odql_14848,[]
knowledge,,triviaqa,Space,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The ESA was 35 years old in 2010. For what does the S stand?,sfq_12214,[]
knowledge,,triviaqa,Gingerbread,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the principal charity for single parent families in the UK?,sfq_20339,[]
knowledge,,triviaqa,Aston Villa,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who were the first League Cup winners,bt_4210,[]
knowledge,,triviaqa,Arsenal,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Wayne Rooney scored his first senior goal against which club?,qz_2289,[]
knowledge,,triviaqa,Duke of Wellington,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who is Arthur Wellesley better known as?,qz_3152,[]
knowledge,,triviaqa,NEPTUNE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The existance of which planet was mathematically,odql_206,[]
knowledge,,triviaqa,"Huey, Dewey and Louie","{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What are the names of Donald Duck's three nephews?,qz_611,[]
knowledge,,triviaqa,Costco,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Kirkland Signature is the house brand of what retail giant?,qg_547,[]
knowledge,,triviaqa,John Entwhistle,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who was the original bass guitarist with The Who,bt_4413,[]
knowledge,,triviaqa,Tony Blair,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""Whose memoirs, published in 2010, were called """"A Journey""""?""",sfq_10376,[]
knowledge,,triviaqa,BASCULE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What name is given to the bridge design, such as Tower Bridge, with a divided lifting roadway?",sfq_8726,[]
knowledge,,triviaqa,60 mph,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",On a motorway what is the speed limit for a car towing a caravan?,dpql_345,[]
knowledge,,triviaqa,Solidus,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the name of the line separating the numerator and denominator of a fraction if it is written as a diagonal line?,qw_6697,[]
knowledge,,triviaqa,Green,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The flag of the Great Socialist People's Libyan Arab Jamahiriya was what single colour?,sfq_15113,[]
knowledge,,triviaqa,Faggots,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What dish, especially popular in parts of Wales and the English Midlands,  is traditionally made from pig's heart, liver and fatty belly meat or bacon minced together, with herbs added for flavouring and sometimes bread crumbs",qz_6186,[]
knowledge,,triviaqa,GRIZZLY BEAR,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Ursus arctos horribilis is the scientific name of which animal?,sfq_17706,[]
knowledge,,triviaqa,KRYPTON,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which of the Noble Gases takes its name from the Greek for 'hidden' ?,wh_2999,[]
knowledge,,triviaqa,REGINALD BOSANQUET,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which popular newsreader resigned from ITN in 1979?,sfq_13492,[]
knowledge,,triviaqa,AMADEUS,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which play by Sir Peter Shaffer was made into a film with Tom Hulce in the title role?,sfq_19838,[]
knowledge,,triviaqa,San Francisco,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In which city was the wheelchair bound Robert Ironside Chief of detectives?,dpql_5620,[]
knowledge,,triviaqa,THE ORANGE PRIZE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the name of the UK Women's Prize for Fiction?,odql_14427,[]
knowledge,,triviaqa,Conclave,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the name of the assembly of cardinals for the election of a pope?,bb_7609,[]
knowledge,,triviaqa,Stephen Bing,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,qz_1725,[]
knowledge,,triviaqa,Phar Lap,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which famous racehorse won Australia’s Melbourne Cup in 1930?,qb_1030,[]
knowledge,,triviaqa,Clyde,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The John Brown Shipyard is/was on which river?,sfq_3798,[]
knowledge,,triviaqa,America,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The expression 'Go West' originally (mid-1800s) encouraged people to move from/within?,bb_5000,[]
knowledge,,triviaqa,Manfred von Richtofen.,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What was the name of the World War I fighter ace nicknamed the Red Baron?,qz_5801,[]
knowledge,,triviaqa,Utoya Island,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What is the name of the island in Norway where over 80 people lost their lives to a gunman on 22nd July?,qf_630,[]
knowledge,,triviaqa,DISCWORLD,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In a famous and popular series of books, what rests on the back of four giant elephants?",dpql_5208,[]
knowledge,,triviaqa,Bulls Eye,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",In the Charles Dickens novel ‘Oliver Twist’ what is the name of Bill Sykes dog?,qb_4235,[]
knowledge,,triviaqa,Monaco,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The Tour de France always ends in Paris. In what European city did it begin this year?,qg_2410,[]
knowledge,,triviaqa,Interlaken,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which town stands on the River Aare, between the lakes of Brienz and Thun?",sfq_18732,[]
knowledge,,triviaqa,Country club,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What is a name for a type of private club in city outskirts or rural areas that usually offers a variety of recreational sports facilities such as golf, tennis, swimming and polo?",qw_6112,[]
knowledge,,triviaqa,April,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which month of the year came second in the Roman calendar?,sfq_10001,[]
knowledge,,triviaqa,The Michelin Man,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Introduced in 1894 and one of the world's oldest trademarks, Bibendum is better known as what?",bb_5700,[]
knowledge,,triviaqa,Four,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",How many ‘Triangles’ are there on the logo of car manufacturer BMW?,qb_8254,[]
knowledge,,triviaqa,1296,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What is the next in the series: 1, 16, 81, 256, 625 ?",qw_808,[]
knowledge,,triviaqa,"""""""Fast Eddie"""" Felson""","{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","""In the film of the same name, what was the name of """"The Hustler""""?""",sfq_6754,[]
knowledge,,triviaqa,Alan Sugar,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which businessman on his elevation to the House of Lords, by Gordon Brown, in 2000, took the title Baron of Clapton?",sfq_22210,[]
knowledge,,triviaqa,ANTHONY TROLLOPE,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","Which 19th century British novelist, who worked as a Surveyor for the Post Office, was reputedly instrumental in the introduction of the pillar box in 1852?",odql_1078,[]
knowledge,,triviaqa,Enid Blyton,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Mrs Darrell Waters books were translated into 120 languages. What was her pen name?,dpql_2849,[]
knowledge,,triviaqa,PENRHYN,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What is the name of the neo-Norman fantasy castle situated close to Bangor, between Snowdonia and the Menai strait ? It was built in the early 19th century by a family who made their money from sugar and Welsh slate, and is now in the care of the National Trust.",wh_1931,[]
knowledge,,triviaqa,Michael Faraday,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What noted English chemist and physicist, born on Sept 22, 1791, is responsible for the electromagnet and has the SI unit of capacitance named for him?",qg_3321,[]
knowledge,,triviaqa,VIV RICHARDS,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In 1986, whilst facing England which West Indian batsman scored the fastest ever Test century in just 56 balls?",odql_9905,[]
knowledge,,triviaqa,Stanley Baldwin,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","In November 1935, which British prime minister returned to office after a general election?",bb_1194,[]
knowledge,,triviaqa,Mediterranean Sea,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The Suez Canal joins the Red Sea and which other body of water?,qb_6552,[]
knowledge,,triviaqa,Thom Yorke,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Which “Thom” is Radiohead’s lead singer and principal songwriter?,dpql_2139,[]
knowledge,,triviaqa,Surrealism,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What was the name of the type of art particularly associated with Salvador Dali?,sfq_223,[]
knowledge,,triviaqa,HIP,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",Coxa is the medical name for which joint of the human body?,sfq_13790,[]
knowledge,,triviaqa,Concorde,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","G-BOAG, G-BOAC, and F-BVFC and the tragic F-BTSC designated what iconic 20thC invention?",bb_4773,[]
knowledge,,triviaqa,SIR EDWARD JOHN POYNTER,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",The painting 'Faithful Unto Death' can be found in Liverpool's Walker Art Gallery. Who painted it?,odql_5478,[]
knowledge,,triviaqa,Ireland,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What country does Waterford crystal come from?,jp_1403,[]
knowledge,,triviaqa,Sue,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",What boy with a girl's name was sung about by Johnny Cash?,jp_931,[]
knowledge,,triviaqa,Harry Palmer,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What was the name of the character played by Michael Caine in a total of five films, the first of which was ‘The Ipcress File’?",sfq_25402,[]
knowledge,,triviaqa,Nine,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}",How many times did Actress Zsa Zsa Gabor marry?,qb_7207,[]
knowledge,,triviaqa,Charles Darwin,"{""source"": ""huggingface"", ""hf_dataset"": ""trivia_qa/rc.nocontext"", ""split"": ""validation""}","What famed British naturalist, born on Feb 12, 1809, wrote a book famously subtitled ""the Preservation of Favoured Races in the Struggle for Life""?",qg_460,[]
